"","cty_yr","year","cty","dummy_70","dummy_80","pre_85","post_85","entry_res","polity4","under_imf","signed_imf","wb_all","regime","type2","emil","democracy","gdp","gdp_pc","cur_bop_pcnt","netFDI_pcnt","netFDIout_pcnt","hitech_xprt","iso","mil_govt","mil_gdp","arms_xprt","arms_imprt","time_since_independence","eng_col","fra_col","spa_col","age_of_demo","age_of_demo_p","warnock_smooth","warnock_unsmooth","aid_gdp","aid_govt","aid_gcf","pop","urban","trade_gdp","gdp_grow","cty_1","currency","bank","reschedule","ratiosk","surpe","plp","left_party","entryres_lang","approve_lang","entry_res_colony","belgium_colony","france_colony","dutch_colony","spain_colony","uk_colony","glob_fdi","approve_agg"
"1","arg1970","1970","arg",1,0,1,0,NA,-9,0,0,0,4,0,1,0,1.5856e+11,6617.040271,2603,361,157,1,1,1,1,2,594,146,0,0,1,0,0,NA,NA,0.030727406,NA,0.120996821,23962314,18906265.75,10.33744408,3.045643341,"argentina",0,0,0,NA,NA,NA,NA,0.143911439114391,1,0.0719557195571956,0,0,0,1,0,109125.12,NA
"2","arg1971","1971","arg",1,0,1,0,NA,-9,0,0,2,4,0,1,0,1.67531e+11,6879.166473,2603,361,157,1,1,1,1,1,812,147,0,0,1,0,0,NA,NA,0.0823854,NA,0.345166921,24353402,19317118.47,12.61518892,5.658131081,"argentina",0,0,0,NA,NA,NA,NA,0.100861008610086,1,0.0756457564575646,0,0,0,1,0,124253.72,NA
"3","arg1972","1972","arg",1,0,1,0,NA,-9,0,0,0,4,0,1,0,1.70259e+11,6874.274711,2603,361,157,1,1,1,1,627,862,148,0,0,1,0,0,NA,NA,0.068188131,NA,0.281023096,24767589,19749675.47,14.0356432,1.628416499,"argentina",0,0,0,0.6717,0.3184,2.425113,NA,0.276014760147601,0.95479704797048,0.270848708487085,0,0,0,1,0,139359.15,NA
"4","arg1973","1973","arg",1,0,1,0,NA,6,0,0,0,2,0,1,1,1.75046e+11,6947.352258,2603,361,157,1,1,1,1,1,517,149,0,0,1,1,1,NA,NA,0.08660485,NA,0.41590592,25196143,20197228.23,13.32216851,2.81175404,"argentina",0,0,0,0.661,0.3114,2.439622,NA,0.745914602003163,0.688455455983131,0.742224565102794,0,0,0,1,0,163443.43,NA
"5","arg1974","1974","arg",1,0,1,0,NA,6,0,0,0,2,0,0,1,1.84733e+11,7208.704256,2603,361,157,1,1,1,1,1,926,150,0,0,1,2,2,NA,NA,0.049422199,NA,0.222764291,25626410,20649761.18,13.19157986,5.533804401,"argentina",0,0,0,0.6488,0.3046,2.448265,NA,0.861887190300474,0.700579862941487,0.857142857142857,0,0,0,1,0,191560.89,NA
"6","arg1975","1975","arg",1,0,1,0,0.0627306273062731,6,0,0,0,2,0,0,1,1.84681e+11,7089.645633,2603,361,157,1,1,1,1,1,324,151,0,0,1,3,3,NA,NA,0.049503172,NA,0.170418255,26049359,21099980.79,11.8027243,-0.028412088,"argentina",1,0,0,0.6706,0.298,2.586936,1,0.762484624846248,0.738007380073801,0.681044143774771,0,0,0,1,0,206746.86,1
"7","arg1976","1976","arg",1,0,1,0,0.0627306273062731,-9,1,1,1,4,0,1,0,1.80953e+11,6838.2955,2853,361,157,1,1,1,1,3,1014,152,0,0,1,0,0,NA,NA,0.059724525,NA,0.194414936,26461770,21534588.43,15.09688462,-2.018251533,"argentina",1,0,0,0.6775,0.3586,2.171944,1,0.796657707317814,0.777777777777778,0.711087877545442,0,0,0,1,0,218174.86,1
"8","arg1977","1977","arg",1,0,1,0,0.0627306273062731,-9,1,1,2,4,0,1,0,1.93501e+11,7202.261292,2952,1076,4,1,1,1,1,1,333,153,0,0,1,0,0,NA,NA,0.049556966,NA,0.15891627,26866698,21966212.28,16.94228657,6.934147763,"argentina",1,0,0,0.6842,0.3571,2.202307,0,0.494481096326115,0.673636736367364,0.398204679016487,0,0,0,1,0,246468.21,0.0996309963099631
"9","arg1978","1978","arg",1,0,1,0,0.0627306273062731,-9,0,0,2,4,0,1,0,1.84782e+11,6776.259511,3198,1421,65,1,1,1,1,1,1003,154,0,0,1,0,0,NA,NA,0.048790229,NA,0.174396311,27268965,22398727.85,14.32379637,-4.506124798,"argentina",0,0,0,0.6681,0.3553,2.161266,0,0.652481767241915,0.673636736367364,0.556205349932287,0,0,0,1,0,293156.12,0.0996309963099631
"10","arg1979","1979","arg",1,0,1,0,0.0627306273062731,-9,0,0,2,4,0,1,0,2.03671e+11,7359.103583,192,1171,84,1,1,1,1,596,728,155,0,0,1,0,0,NA,NA,0.062629173,NA,0.240025711,27676111,22838326.8,12.84068464,10.22276345,"argentina",0,0,0,0.6705,0.3535,2.180212,0,0.642418030240908,0.784747847478475,0.556205349932287,0,0,0,1,0,355048.24,0.0996309963099631
