educ,age,nonwhite,occ17_num,occ17,occ5_num,occ5
19,29,0,2,"Professionals, Salaried",1,Professional
16,29,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
18,26,0,3,Managers,2,Managerial
12,37,0,12,"Operatives, Other",5,Other Blue Collar
12,30,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
16,40,0,2,"Professionals, Salaried",1,Professional
12,40,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
14,32,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
20,43,0,2,"Professionals, Salaried",1,Professional
16,33,0,2,"Professionals, Salaried",1,Professional
16,27,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
14,41,0,3,Managers,2,Managerial
16,27,0,0,Unemployment,0,Unemployment
18,31,0,2,"Professionals, Salaried",1,Professional
12,27,0,0,Unemployment,0,Unemployment
18,28,0,3,Managers,2,Managerial
12,26,0,0,Unemployment,0,Unemployment
16,31,0,2,"Professionals, Salaried",1,Professional
10,42,0,10,"Craftsmen, Construction",5,Other Blue Collar
16,36,0,2,"Professionals, Salaried",1,Professional
12,43,0,13,Service,3,"Sales, Clerical, Services"
6,34,0,10,"Craftsmen, Construction",5,Other Blue Collar
13,34,0,5,Proprietors,2,Managerial
12,29,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
13,44,0,4,"Salesmen, Other",2,Managerial
14,40,0,13,Service,3,"Sales, Clerical, Services"
12,37,0,15,"Laborers, Other",5,Other Blue Collar
13,26,0,8,"Craftsmen, Manufacturing",4,MFG Blue Collar
10,40,1,9,"Craftsmen, Other",5,Other Blue Collar
13,28,0,9,"Craftsmen, Other",5,Other Blue Collar
16,29,0,2,"Professionals, Salaried",1,Professional
12,34,0,7,"Salesmen, Retail",3,"Sales, Clerical, Services"
12,32,0,0,Unemployment,0,Unemployment
12,28,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
12,25,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
15,36,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
16,39,0,2,"Professionals, Salaried",1,Professional
14,26,0,16,Farmers,2,Managerial
11,31,0,11,"Operatives, Manufacturing",4,MFG Blue Collar
